"AIDS Report Number","Local Event Date","Event City","Event State","Event Airport","Event Type","Aircraft Damage","Flight Phase","Aircraft Make","Aircraft Model","Aircraft Series","Operator","Primary Flight Type","Flight Conduct Code","Flight Plan Filed Code","Aircraft Registration Nbr","Total Fatalities","Total Injuries","Aircraft Engine Make","Aircraft Engine Model","Engine Group Code","Nbr of Engines","PIC Certificate Type","PIC Flight Time Total Hrs","PIC Flight Time Total Make-Model"," "," "
"20240526005029A","26-MAY-24","PIERSON","FL","PIERSON MUNI","","","","","","","PHOENIX EAST","","PILOT SCHOOLS","","","0","1","","","","","","527","502","195",""
"20240526005779A","26-MAY-24","ROME","OR","","","","","","","","","","AGRICULTURAL","","","0","1","","","","","","14000","700","50",""
"20240526005829A","26-MAY-24","FRANKTOWN","CO","","","","","","","","","","","","","0","0","","","","","","1184","27","36",""
"20240526006389A","26-MAY-24","FAYETTEVILLE","NC","GRAYS CREEK","","","","","","","","","","","","0","1","","","","","","99","17","6",""
"20240526006489I","26-MAY-24","PANDALE","TX","","","","","","","","","","","","","0","0","","","","","","7570","","",""
"20240526007269A","26-MAY-24","PALMER","AK","PALMER MUNI","","","","","","","","","","","","0","0","","","","","","308","6","22",""
"20240526008939I","26-MAY-24","CHARLESTON","SC","CHARLESTON AFB/INTL","","","","","","","","","","","","0","0","","","","","","420","","",""
"20240526009389A","26-MAY-24","FOLSOM","CA","","","","","","","","","","ULTRALIGHT VEHICLES","","","0","0","","","","","","","","",""
"20240526009849A","26-MAY-24","PIERSON","FL","PIERSON MUNI","","","","","","","PHOENIX EAST","","PILOT SCHOOLS","","","0","2","","","","","","","","",""
"20240526010909A","26-MAY-24","SALISBURY","MD","BENNETT","","","","","","","","","","","","0","0","","","","","","14000","25","15",""
"20240527004269A","27-MAY-24","FAIRBANKS","AK","METRO FLD","","","","","","","","","","","","0","0","","","","","","19270","14000","106",""
"20240527005529A","27-MAY-24","TAYLOR","TX","TAYLOR MUNI","","","","","","","","","","","","0","1","","","","","","436","126","34",""
"20240527006449I","27-MAY-24","FORT LAUDERDALE","FL","FORT LAUDERDALE EXECUTIVE","","","","","","","NS AVIATION","","PILOT SCHOOLS","","","0","0","","","","","","","","",""
"20240527006599A","27-MAY-24","HEBER CITY","UT","HEBER CITY MUNI - RUSS MCDONALD FIELD","","","","","","","","","","","","0","0","","","","","","18000","120","",""
"20240527007259I","27-MAY-24","MACON","MS","MACON MUNI","","","","","","","","","","","","0","0","","","","","","768","","",""
"20240527007469I","27-MAY-24","KINGMAN","AZ","KINGMAN","","","","","","","","","","","","0","0","","","","","","2306","1947","1",""
"20240527007999I","27-MAY-24","TEHACHAPI","CA","TEHACHAPI MUNI","","","","","","","","","","","","0","0","","","","","","","","",""
"20240527009089A","27-MAY-24","CITRONELLE","AL","","","","","","","","","","","","","0","0","","","","","","13250","","",""
"20240527010899I","27-MAY-24","DENTON","TX","DENTON MUNI","","","","","","","","","","","","0","0","","","","","","161","161","15",""
"20240527011029I","27-MAY-24","NEWBERRY","FL","OAK TREE LANDING","","","","","","","","","","","","0","0","","","","","","78","","",""
"20240527017939A","27-MAY-24","HILLDALE","UT","COLORADO CITY MUNI","","","","","","","","","","","","0","1","","","","","","530","","",""
"20240528006119I","28-MAY-24","AVOCA","PA","WILKES-BARRE/SCRANTON INTL","","","","","","","","","","","","0","0","","","","","","1289","661","13",""
"20240528006649I","28-MAY-24","RALEIGH","NC","RALEIGH-DURHAM INTL","","","","","","","","","","","","0","0","","","","","","618","","",""
"20240528006689A","28-MAY-24","MCCALL","ID","MC CALL MUNI","","","","","","","","","","","","0","0","","","","","","4225","","",""
"20240529005559I","29-MAY-24","EDEN PRAIRIE","MN","FLYING CLOUD","","","","","","","","","","","","0","0","","","","","","472","","",""
"20240529008459A","29-MAY-24","HILLSBORO","OR","PORTLAND-HILLSBORO","","","","","","","","","","","","0","0","","","","","","18200","9","30",""
"20240530005099A","30-MAY-24","KONA","HI","","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","828","497","53",""
"20240530006039A","30-MAY-24","FAYETTEVILLE","TN","FAYETTEVILLE MUNI","","","","","","","","","","","","0","0","","","","","","585","","",""
"20240530006079I","30-MAY-24","INDIANAPOLIS","IN","EAGLE CREEK AIRPARK","","","","","","","","","","","","0","0","","","","","","715","636","3",""
"20240530006279I","30-MAY-24","POCAHONTAS","AR","","","","","","","","C AND C FLYING SERVICE","","AGRICULTURAL","","","0","0","","","","","","4642","","",""
"20240530006779I","30-MAY-24","MANHATTAN","KS","MANHATTAN RGNL","","","","","","","","","","","","0","0","","","","","","3600","250","30",""
"20240530007029A","30-MAY-24","GREENSBORO","NC","PIEDMONT TRIAD INTL","","","","","","","","","","","","0","0","","","","","","82","74","3",""
"20240530007139I","30-MAY-24","SPRINGFIELD","TN","SPRINGFIELD ROBERTSON COUNTY","","","","","","","","","","","","0","0","","","","","","15000","200","15",""
"20240530007339A","30-MAY-24","PAROWAN","UT","PAROWAN","","","","","","","","","","","","0","0","","","","","","10411","","",""
"20240530008299A","30-MAY-24","PINEDALE","WY","RALPH WENZ FIELD","","","","","","","","","","","","0","0","","","","","","1015","36","20",""
"20240530009099A","30-MAY-24","","FL","AIRPORT MANATEE","","","","","","","","","","","","0","0","","","","","","","","",""
"20240530009339A","30-MAY-24","PALMYRA","MO","","","","","","","","","","","","","0","1","","","","","","5469","37","52",""
"20240530012659I","30-MAY-24","ALBUQUERQUE","NM","ALBUQUERQUE INTL SUNPORT","","","","","","","","","","","","0","0","","","","","","","","",""
"20240530015969A","30-MAY-24","BETHEL","AK","BETHEL","","","","","","","","","","","","0","0","","","","","","1100","","",""
"20240531006109A","31-MAY-24","SOLDOTNA","AK","","","","","","","","","","","","","0","0","","","","","","14500","775","30",""
"20240531006169A","31-MAY-24","NEPHI","UT","","","","","","","","","","","","","0","0","","","","","","1306","29","17",""
"20240531006639A","31-MAY-24","COLORADO SPRINGS","CO","CITY OF COLORADO SPRINGS MUNI","","","","","","","","","","","","0","1","","","","","","","","",""
"20240531006739A","31-MAY-24","WILLOW","AK","WILLOW","","","","","","","","","","","","0","0","","","","","","480","299","6",""
"20240531006879A","31-MAY-24","FAIRBANKS","AK","","","","","","","","","","","","","0","0","","","","","","375","17","17",""
"20240531008709I","31-MAY-24","MOUNT CARMEL","IL","","","","","","","","","","","","","0","0","","","","","","","","",""
"20240531008919A","31-MAY-24","HOOPER","UT","","","","","","","","","","","","","0","0","","","","","","848","196","62",""
"20240531009929I","31-MAY-24","","MD","MARTIN STATE","","","","","","","","","","","","0","0","","","","","","3400","750","30",""
"20240531010889I","31-MAY-24","KAPOLEI","HI","KALAELOA (JOHN RODGERS FIELD)","","","","","","","","","","","","0","0","","","","","","14400","","",""
"20240601006089A","01-JUN-24","ZEBULON","NC","CROOKED CREEK","","","","","","","","","","","","0","0","","","","","","13000","400","16",""
"20240601006229I","01-JUN-24","WICKENBURG","AZ","WICKENBURG MUNI","","","","","","","","","","","","0","0","","","","","","163","163","87",""
"20240601006859I","01-JUN-24","LABELLE","FL","","","","","","","","","","","","","0","0","","","","","","","","",""
"20240601007129A","01-JUN-24","SAN DIEGO","CA","MONTGOMERY FIELD","","","","","","","","","","","","0","0","","","","","","2630","36","85",""
"20240601007639A","01-JUN-24","SNOHOMISH","WA","HARVEY FIELD","","","","","","","","","","","","0","0","","","","","","1400","360","30",""
"20240601008009A","01-JUN-24","DALHART","TX","DALHART MUNI","","","","","","","","","","","","0","0","","","","","","187","84","55",""
"20240601008659A","01-JUN-24","AITKIN","MN","AITKIN MUNI-STEVE KURTZ FIELD","","","","","","","","","","","","0","1","","","","","","344","200","8",""
"20240601009079A","01-JUN-24","DANBURY","NH","","","","","","","","","","","","","0","0","","","","","","175","20","14",""
"20240601010289A","01-JUN-24","GENESEO","NY","GENESEO","","","","","","","","","","","","0","0","","","","","","230","30","4",""
"20240601010589A","01-JUN-24","SAN JUAN","PR","FERNANDO LUIS RIBAS DOMINICCI","","","","","","","","","","","","0","0","","","","","","535","","",""
"20240602005249A","02-JUN-24","BETHEL","AK","BETHEL","","","","","","","GRANT AVIATION INC","","","","","0","0","","","","","","909","306","244",""
"20240602006849A","02-JUN-24","MODESTO","CA","MODESTO CITY-CO-HARRY SHAM FLD","","","","","","","","","","","","0","2","","","","","","1080","72","11",""
"20240602007249A","02-JUN-24","FAIRBANKS","AK","","","","","","","","","","","","","0","0","","","","","","350","62","8",""
"20240602008119A","02-JUN-24","","FL","LITTLE RIVER","","","","","","","","","","","","0","0","","","","","","440","6","6",""
"20240602008449A","02-JUN-24","BENTON","NH","","","","","","","","","","","","","0","0","","","","","","159","22","22",""
"20240602009059A","02-JUN-24","BENTON CITY","WA","","","","","","","","","","","","","0","0","","","","","","7827","20","2",""
"20240602009529A","02-JUN-24","GILBERTSVILLE","KY","KENTUCKY DAM STATE PARK","","","","","","","","","","","","0","1","","","","","","14000","500","5",""
"20240602012549I","02-JUN-24","OCALA","FL","OCALA INTL-JIM TAYLOR FIELD","","","","","","","","","","","","0","0","","","","","","395","240","80",""
"20240602014419A","02-JUN-24","HEBRON","IN","","","","","","","","","","","","","0","0","","","","","","11000","2","150",""
"20240603005889I","03-JUN-24","WATERFORD","MI","OAKLAND COUNTY INTL","","","","","","","","","","","","0","0","","","","","","2500","79","2",""
"20240603006559A","03-JUN-24","PLYMOUTH","CT","","","","","","","","","","PILOT SCHOOLS","","","0","1","","","","","","","","",""
"20240604006139I","04-JUN-24","CHESTER","CT","CHESTER","","","","","","","","","","","","0","0","","","","","","340","140","9",""
"20240604006839I","04-JUN-24","PALM BEACH","FL","","","","","","","","","","","","","0","0","","","","","","","","",""
"20240604006929I","04-JUN-24","ORLANDO","FL","EXECUTIVE","","","","","","","","","","","","0","0","","","","","","","","",""
"20240604007919A","04-JUN-24","GYPSUM","CO","EAGLE COUNTY RGNL","","","","","","","","","","","","0","0","","","","","","458","24","171",""
"20240604012669A","04-JUN-24","EDGEWOOD","NM","","","","","","","","","","","","","0","1","","","","","","780","","",""
"20240605005069I","05-JUN-24","MIAMI","FL","MIAMI INTL","","","","","","","","","AIR CARRIER/COMMERCIAL","","","0","0","","","","","","","","",""
"20240605005869I","05-JUN-24","KENNER","LA","LOUIS ARMSTRONG NEW ORLEANS INTL","","","","","","","OKLAHOMA EXECUTIVE JET CHARTER INC","","","","","0","0","","","","","","27400","","",""
"20240605006549A","05-JUN-24","SOUTHAMPTON","NJ","RED LION","","","","","","","","","","","","0","0","","","","","","5805","347","55",""
"20240605006869I","05-JUN-24","PRESCOTT","AZ","","","","","","","","","","","","","0","0","","","","","","9300","","",""
"20240605007119A","05-JUN-24","SANTA YNEZ","CA","SANTA YNEZ","","","","","","","","","","","","0","0","","","","","","112","112","21",""
"20240605009289A","05-JUN-24","BUTTE","MT","BERT MOONEY","","","","","","","","","","","","0","0","","","","","","2000","1500","50",""
"20240605010879I","05-JUN-24","SHERMAN","TX","SHERMAN MUNI","","","","","","","","","","","","0","0","","","","","","988","629","3",""
"20240605017399A","05-JUN-24","COLQUITT","GA","","","","","","","","","","AGRICULTURAL","","","0","0","","","","","","654","146","",""
"20240606005089A","06-JUN-24","SPEARMAN","TX","PERRYTON OCHILTREE COUNTY","","","","","","","","","AGRICULTURAL","","","0","0","","","","","","631","91","100",""
"20240606005649A","06-JUN-24","NENANA","AK","NENANA MUNI","","","","","","","","","","","","0","0","","","","","","10600","17","23",""
"20240606005669A","06-JUN-24","MARICOPA","AZ","PHOENIX RGNL","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","1172","1172","204",""
"20240606005809A","06-JUN-24","VERO BEACH","FL","VERO BEACH MUNI","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","","","",""
"20240606006749I","06-JUN-24","RIGBY","ID","RIGBY","","","","","","","","","","","","0","0","","","","","","1140","","",""
"20240606007109A","06-JUN-24","AUBURN","WA","AUBURN MUNI","","","","","","","","","","","","1","0","","","","","","","","",""
"20240606008909A","06-JUN-24","PAROWAN","UT","PAROWAN","","","","","","","","","","","","0","1","","","","","","2000","500","40",""
"20240606010249I","06-JUN-24","COLLEGE PLACE","WA","MARTIN FIELD","","","","","","","","","","","","0","0","","","","","","190","22","40",""
"20240606012469I","06-JUN-24","CONROE","TX","LONE STAR EXECUTIVE","","","","","","","ATP FLIGHT ACADEMY","","","","","0","0","","","","","","","","",""
"20240606017319I","06-JUN-24","WEST CHICAGO","IL","DUPAGE","","","","","","","","","","","","0","0","","","","","","31343","","",""
"20240607006829I","07-JUN-24","NEW LONDON","NC","STANLY COUNTY","","","","","","","","","","","","0","0","","","","","","2680","77","66",""
"20240607007089I","07-JUN-24","KNOXVILLE","TN","MC GHEE TYSON","","","","","","","","","","","","0","0","","","","","","400","","",""
"20240607007099A","07-JUN-24","MEDICINE BOW","WY","","","","","","","","","","","","","0","1","","","","","","7272","","",""
"20240607008309A","07-JUN-24","SUNSET","LA","","","","","","","","","","","","","0","0","","","","","","8000","650","15",""
"20240607008529A","07-JUN-24","KING SALMON","AK","KING SALMON","","","","","","","","","","","","0","0","","","","","","1563","","",""
"20240607009049A","07-JUN-24","ARVADA","CO","","","","","","","","","","","","","1","0","","","","","","459","315","44",""
"20240607010389I","07-JUN-24","EAU CLAIRE","WI","CHIPPEWA VALLEY RGNL","","","","","","","","","","","","0","0","","","","","","1768","507","57",""
"20240607010629I","07-JUN-24","WARRENSBURG","MO","SKYHAVEN","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","31","31","",""
"20240608005789I","08-JUN-24","HUNTSVILLE","AL","HUNTSVILLE INTL-CARL T JONES FIELD","","","","","","","","","","","","0","0","","","","","","2554","43","252",""
"20240608005919A","08-JUN-24","TELFORD","TN","KITE FIELD","","","","","","","","","","","","0","0","","","","","","","","",""
"20240608006159A","08-JUN-24","PRYOR","OK","MID-AMERICA INDUSTRIAL","","","","","","","","","","","","0","0","","","","","","25","2","1",""
"20240608006399A","08-JUN-24","MADISONVILLE","TN","MONROE COUNTY","","","","","","","","","","","","0","1","","","","","","14174","","",""
"20240608006809A","08-JUN-24","OCALA","FL","OCALA INTL-JIM TAYLOR FIELD","","","","","","","","","","","","0","1","","","","","","498","","117",""
"20240608006819I","08-JUN-24","MESA","AZ","FALCON FLD","","","","","","","","","","","","0","0","","","","","","","","",""
"20240608006919A","08-JUN-24","PASO ROBLES","CA","SWANSON RANCH NR 2","","","","","","","","","","","","0","2","","","","","","141","141","14",""
"20240608007019A","08-JUN-24","BEAUFORT","NC","MICHAEL J. SMITH FIELD","","","","","","","","","","","","0","0","","","","","","1773","25","20",""
"20240608007069A","08-JUN-24","JAMESTOWN","TN","","","","","","","","","","","","","0","0","","","","","","","","",""
"20240608007079A","08-JUN-24","TULLAHOMA","TN","TULLAHOMA RGNL ARPT/WM NORTHERN FIELD","","","","","","","","","","","","0","1","","","","","","1555","","",""
"20240608008279A","08-JUN-24","MARANA","AZ","","","","","","","","","","","","","1","0","","","","","","1396","1396","8",""
"20240608010029A","08-JUN-24","FAIRBANKS","AK","BLAIR LAKE","","","","","","","WRIGHT AIR SERVICE INC","","","","","0","0","","","","","","5150","685","346",""
"20240608010859I","08-JUN-24","KNOXVILLE","TN","MC GHEE TYSON","","","","","","","","","","","","0","0","","","","","","938","","",""
"20240608010869A","08-JUN-24","ZEPHYRHILLS","FL","ZEPHYRHILLS MUNI","","","","","","","","","","","","0","0","","","","","","","","",""
"20240608012429A","08-JUN-24","OCEAN SHORES","WA","OCEAN SHORES MUNI","","","","","","","","","","","","0","0","","","","","","","","",""
"20240609005719I","09-JUN-24","BRIDGEPORT","CT","IGOR I SIKORSKY MEMORIAL","","","","","","","","","","","","0","0","","","","","","1156","46","33",""
"20240609010159I","09-JUN-24","WILTON","CA","ALTA MESA AIRPARK","","","","","","","","","","","","0","0","","","","","","252","","",""
"20240609011649I","09-JUN-24","MILWAUKEE","WI","GENERAL MITCHELL INTL","","","","","","","PSA AIRLINES INC","","AIR CARRIER/COMMERCIAL","","","0","0","","","","","","","","",""
"20240609013379I","09-JUN-24","CHESTERFIELD","MO","SPIRIT OF ST LOUIS","","","","","","","","","","","","0","0","","","","","","6000","","",""
"20240610007059I","10-JUN-24","PHILADELPHIA","PA","NORTHEAST PHILADELPHIA","","","","","","","","","","","","0","0","","","","","","492","5","155",""
"20240610007609A","10-JUN-24","COLORADO SPRINGS","CO","CITY OF COLORADO SPRINGS MUNI","","","","","","","","","","","","0","0","","","","","","1390","55","39",""
"20240610007879I","10-JUN-24","CHESTERFIELD","MO","SPIRIT OF ST LOUIS","","","","","","","","","","","","0","0","","","","","","284","","",""
"20240610008519A","10-JUN-24","PORT ALSWORTH","AK","","","","","","","","TALON AIR SERVICE INC","","","","","0","1","","","","","","594","51","",""
"20240610008699A","10-JUN-24","BETHEL","AK","BETHEL","","","","","","","","","","","","0","0","","","","","","4996","744","",""
"20240610009279A","10-JUN-24","CLINTON","MI","","","","","","","","","","","","","1","0","","","","","","424","269","75",""
"20240610010379I","10-JUN-24","MADISON","WI","DANE COUNTY RGNL-TRUAX FIELD","","","","","","","","","","","","0","0","","","","","","","","",""
"20240610015119I","10-JUN-24","STATESVILLE","NC","","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","410","","",""
"20240610015799A","10-JUN-24","VALDOSTA","GA","VALDOSTA RGNL","","","","","","","","","","","","0","0","","","","","","2166","436","18",""
"20240611006419I","11-JUN-24","SACRAMENTO","CA","SACRAMENTO INTL","","","","","","","JAZZ","","FOREIGN AIR CARRIER","","","0","0","","","","","","","","",""
"20240611007959A","11-JUN-24","BAY CITY","TX","BAY CITY MUNI","","","","","","","","","","","","0","0","","","","","","102","14","5",""
"20240611008389I","11-JUN-24","HENDERSON","NV","HENDERSON EXECUTIVE","","","","","","","","","","","","0","0","","","","","","","","",""
"20240611011019A","11-JUN-24","GAINESVILLE","TX","","","","","","","","","","PILOT SCHOOLS","","","1","0","","","","","","105","65","65",""
"20240611015789I","11-JUN-24","AUGUSTA","GA","AUGUSTA RGNL AT BUSH FIELD","","","","","","","","","","","","0","0","","","","","","1250","","",""
"20240612006609A","12-JUN-24","FERNLEY","NV","TIGER FLD","","","","","","","","","","","","0","0","","","","","","3905","75","79",""
"20240612007589A","12-JUN-24","ELK RIVER","ID","","","","","","","","","","","","","1","0","","","","","","","","",""
"20240612007599A","12-JUN-24","SELMA","AL","CRAIG FIELD","","","","","","","","","","","","0","0","","","","","","100","1","",""
"20240612007869I","12-JUN-24","NORTH LITTLE ROCK","AR","NORTH LITTLE ROCK MUNI","","","","","","","","","","","","0","0","","","","","","4103","1600","30",""
"20240612009319I","12-JUN-24","WHITEVILLE","TN","WINGS FIELD","","","","","","","","","PARACHUTE JUMPING","","","1","0","","","","","","","","",""
"20240612009329I","12-JUN-24","WEST JORDAN","UT","SOUTH VALLEY RGNL","","","","","","","","","","","","0","0","","","","","","","","",""
"20240612010279A","12-JUN-24","PAINTED POST","NY","CORNING-PAINTED POST","","","","","","","","","","","","0","0","","","","","","","","",""
"20240612010849A","12-JUN-24","MARKLEEVILLE","CA","","","","","","","","","","","","","2","0","","","","","","1274","652","2",""
"20240612017839A","12-JUN-24","WOODLAND","CA","","","","","","","","","","","","","0","0","","","","","","4496","200","86",""
"20240613005759I","13-JUN-24","","FL","ST PETERSBURG-CLEARWATER INTL","","","","","","","PENTASTAR AVIATION CHARTER INC","","","","","0","0","","","","","","18250","","",""
"20240613005769A","13-JUN-24","BROOKINGS","SD","BROOKINGS RGNL","","","","","","","","","AGRICULTURAL","","","0","1","","","","","","5496","","",""
"20240613006029I","13-JUN-24","LEWISBURG","WV","GREENBRIER VALLEY","","","","","","","","","","","","0","0","","","","","","","","",""
"20240613006679A","13-JUN-24","NAMPA","ID","NAMPA MUNI","","","","","","","","","","","","0","0","","","","","","2634","232","32",""
"20240613007299A","13-JUN-24","CHESAPEAKE","VA","CHESAPEAKE RGNL","","","","","","","","","","","","0","0","","","","","","109","109","10",""
"20240613007809A","13-JUN-24","RENO","NV","RENO/STEAD","","","","","","","","","","","","0","0","","","","","","1179","507","",""
"20240613008269I","13-JUN-24","LANCASTER","PA","LANCASTER","","","","","","","","","","","","0","0","","","","","","","","",""
"20240613009439A","13-JUN-24","CLARKSDALE","MS","FLETCHER FIELD","","","","","","","","","","","","0","0","","","","","","2070","962","",""
"20240613017569I","13-JUN-24","MURRAY","KY","KYLE-OAKLEY FIELD","","","","","","","","","","","","0","0","","","","","","70","70","1",""
"20240614006479I","14-JUN-24","BUCKEYE","AZ","BUCKEYE MUNI","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","810","780","148",""
"20240614006589A","14-JUN-24","ADA","OK","ADA MUNI","","","","","","","","","","","","0","0","","","","","","24","24","24",""
"20240614006799A","14-JUN-24","SILER CITY","NC","SILER CITY MUNI","","","","","","","","","","","","2","0","","","","","","236","","",""
"20240614006942A","14-JUN-24","WHITEFACE","TX","","","","","","","","","","AGRICULTURAL","","","1","0","","","","","","19000","6700","",""
"20240614006952A","14-JUN-24","WHITEFACE","TX","","","","","","","","","","AGRICULTURAL","","","0","0","","","","","","1600","963","31",""
"20240614007239A","14-JUN-24","TOWNSEND","DE","SPIRIT AIRPARK","","","","","","","","","","","","0","1","","","","","","447","","",""
"20240614008059I","14-JUN-24","ASHLAND","VA","HANOVER COUNTY MUNI","","","","","","","","","","","","0","0","","","","","","19951","345","161",""
"20240614012909I","14-JUN-24","WEST PALM BEACH","FL","NORTH PALM BEACH COUNTY GENERAL AVIATION","","","","","","","","","","","","0","0","","","","","","1667","377","",""
"20240615005659I","15-JUN-24","HOOPER BAY","AK","HOOPER BAY","","","","","","","GRANT AVIATION","","","","","0","0","","","","","","1763","2610","189",""
"20240615006179I","15-JUN-24","HENDERSONVILLE","NC","HENDERSONVILLE","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","179","173","48",""
"20240615007419I","15-JUN-24","PRESQUE ISLE","ME","NORTHERN MAINE RGNL ARPT AT PRESQUE IS","","","","","","","","","AGRICULTURAL","","","0","0","","","","","","5147","","",""
"20240615007579A","15-JUN-24","CHINO","CA","CHINO","","","","","","","","","","","","2","0","","","","","","16500","","",""
"20240615009039I","15-JUN-24","CLANTON","AL","CHILTON COUNTY","","","","","","","","","","","","0","0","","","","","","7626","","",""
"20240616006579I","16-JUN-24","AFTON","OK","GRAND LAKE RGNL","","","","","","","","","","","","0","0","","","","","","1388","68","12",""
"20240616007369I","16-JUN-24","BALTIMORE","MD","BALTIMORE/WASHINGTON INTL THURGOOD MARSHAL","","","","","","","CORPORATE FLIGHT MANAGEMENT","","","","","0","0","","","","","","","","",""
"20240616007399A","16-JUN-24","ELIZABETH CITY","NC","ELIZABETH CITY CG AIR STATION/RGNL","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","","","",""
"20240616007409A","16-JUN-24","CHATHAM","MA","CHATHAM MUNI","","","","","","","","","","","","0","0","","","","","","233","75","27",""
"20240616007669I","16-JUN-24","ELIZABETHTOWN","KY","ADDINGTON FIELD","","","","","","","","","PARACHUTE JUMPING","","","0","1","","","","","","","","",""
"20240616007909A","16-JUN-24","ELBERT","CO","KELLY AIR PARK","","","","","","","","","","","","0","0","","","","","","1206","29","29",""
"20240616009142I","16-JUN-24","WILMINGTON","NC","WILMINGTON INTL","","","","","","","","","","","","0","1","","","","","","","","",""
"20240616009709I","16-JUN-24","SHEBOYGAN","WI","SHEBOYGAN COUNTY MEMORIAL","","","","","","","","","","","","0","0","","","","","","354","88","7",""
"20240616010122I","16-JUN-24","WILMINGTON","NC","WILMINGTON INTL","","","","","","","","","","","","0","0","","","","","","10080","","",""
"20240616010169A","16-JUN-24","LARKSPUR","CO","","","","","","","","","","","","","0","0","","","","","","1174","125","80",""
"20240616012159A","16-JUN-24","SMITHFIELD","NC","JOHNSTON COUNTY","","","","","","","","","","","","0","0","","","","","","1505","73","225",""
"20240617006099I","17-JUN-24","FORT SMITH","AR","FORT SMITH RGNL","","","","","","","","","","","","0","0","","","","","","4315","3","14",""
"20240617007459A","17-JUN-24","HEBRON","ND","CHASE AIRSTRIP","","","","","","","","","AGRICULTURAL","","","0","0","","","","","","3300","2625","31",""
"20240617007659A","17-JUN-24","METHUEN","MA","LAWRENCE MUNI","","","","","","","","","","","","1","0","","","","","","295","70","",""
"20240617008899A","17-JUN-24","STEAMBOAT SPRINGS","CO","STEAMBOAT SPRINGS/BOB ADAMS FIELD","","","","","","","","","","","","2","0","","","","","","600","","",""
"20240617010579I","17-JUN-24","MOSBY","MO","MIDWEST NATIONAL AIR CENTER","","","","","","","","","","","","0","0","","","","","","205","","",""
"20240617011279I","17-JUN-24","LANTANA","FL","PALM BEACH COUNTY PARK","","","","","","","","","","","","0","0","","","","","","27830","","",""
"20240617011589I","17-JUN-24","COVINGTON","KY","CINCINNATI/NORTHERN KENTUCKY INTL","","","","","","","CARGO JET AIRWAYS LIMITED","","FOREIGN AIR CARRIER","","","0","0","","","","","","13989","","",""
"20240617011969A","17-JUN-24","LOUDONVILLE","NY","ALBANY INTL","","","","","","","","","","","","1","1","","","","","","1547","","",""
"20240618007949I","18-JUN-24","CARSON CITY","NV","CARSON","","","","","","","","","","","","0","0","","","","","","","","",""
"20240618008199A","18-JUN-24","MURPHYSBORO","IL","SOUTHERN ILLINOIS","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","85","85","7",""
"20240618008439I","18-JUN-24","ENGLEWOOD","CO","CENTENNIAL","","","","","","","","","","","","0","0","","","","","","","","",""
"20240618012679A","18-JUN-24","TWIN FALLS","ID","JOSLIN FIELD - MAGIC VALLEY RGNL","","","","","","","","","","","","0","0","","","","","","1749","18","1",""
"20240618012929A","18-JUN-24","MOOSE PASS","AK","","","","","","","","","","","","","2","0","","","","","","900","","",""
"20240618013259A","18-JUN-24","LEMOORE","CA","LEMOORE NAS (REEVES FLD)","","","","","","","","","","","","0","2","","","","","","1216","388","62",""
"20240618016589A","18-JUN-24","ESCALANTE","UT","PAGE MUNI","","","","","","","","","","","","0","0","","","","","","1532","","",""
"20240619007349I","19-JUN-24","NUNAM IQUA","AK","SHELDON POINT","","","","","","","","","","","","0","0","","","","","","2280","","",""
"20240619007689A","19-JUN-24","RUSTON","LA","RUSTON RGNL","","","","","","","","","","","","0","0","","","","","","82","82","62",""
"20240619008249A","19-JUN-24","","CA","","","","","","","","","","","","","0","0","","","","","","1519","9","4",""
"20240619008759A","19-JUN-24","LITCHFIELD","MI","","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","397","","",""
"20240619009029A","19-JUN-24","","WA","","","","","","","","","","","","","2","0","","","","","","21300","","",""
"20240619009069I","19-JUN-24","SPRING","TX","DAVID WAYNE HOOKS MEMORIAL","","","","","","","","","","","","0","0","","","","","","1610","15","34",""
"20240619013339I","19-JUN-24","EAST TROY","WI","EAST TROY MUNI","","","","","","","","","","","","0","0","","","","","","1141","10","12",""
"20240620005749A","20-JUN-24","","MI","LAKEVIEW-GRIFFITH FIELD","","","","","","","","","AGRICULTURAL","","","0","0","","","","","","820","18","18",""
"20240620006249I","20-JUN-24","BUTLER","PA","BUTLER COUNTY/K W SCHOLTER FIELD","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","30","30","30",""
"20240620007049I","20-JUN-24","BURLINGTON","WA","SKAGIT RGNL","","","","","","","","","","","","0","0","","","","","","849","300","127",""
"20240620007432A","20-JUN-24","ARCO","ID","ARCO-BUTTE COUNTY","","","","","","","","","AGRICULTURAL","","","0","0","","","","","","","","",""
"20240620007849A","20-JUN-24","ALEKNAGIK","AK","ALEKNAGIK","","","","","","","","","","","","0","0","","","","","","1060","275","85",""
